loja;caiu;voltou;tempo
"CENTRAL AGUIAR";"02/04/2024 17:11:27";"02/04/2024 17:11:57";0
"CENTRAL AGUIAR";"02/04/2024 17:13:57";"02/04/2024 17:14:27";1
"CENTRAL AGUIAR";"02/04/2024 17:17:57";"02/04/2024 17:18:27";1
"CENTRAL AGUIAR";"02/04/2024 17:21:57";"02/04/2024 17:22:27";1
"CENTRAL AGUIAR";"02/04/2024 17:26:58";"02/04/2024 17:27:28";1
"CENTRAL AGUIAR";"02/04/2024 17:30:57";"02/04/2024 17:31:27";1
"CENTRAL AGUIAR";"02/04/2024 17:34:57";"02/04/2024 17:35:27";1
"CENTRAL AGUIAR";"02/04/2024 17:38:57";"02/04/2024 17:39:27";1
"CENTRAL AGUIAR";"02/04/2024 17:42:57";"02/04/2024 17:43:27";1
"CENTRAL AGUIAR";"02/04/2024 17:46:57";"02/04/2024 17:47:27";1
"CENTRAL AGUIAR";"02/04/2024 17:50:57";"02/04/2024 17:51:27";1
"CENTRAL AGUIAR";"02/04/2024 17:54:58";"02/04/2024 17:55:28";1
"CENTRAL AGUIAR";"02/04/2024 17:56:28";"02/04/2024 17:56:58";0
"CENTRAL AGUIAR";"02/04/2024 17:58:58";"02/04/2024 17:59:28";1
"CENTRAL AGUIAR";"03/04/2024 09:01:48";"03/04/2024 09:02:18";1
"CENTRAL AGUIAR";"03/04/2024 09:05:48";"03/04/2024 09:06:18";1
"CENTRAL AGUIAR";"03/04/2024 09:09:48";"03/04/2024 09:10:18";1
"CENTRAL AGUIAR";"03/04/2024 09:12:19";"03/04/2024 09:12:49";0
"CENTRAL AGUIAR";"03/04/2024 09:14:49";"03/04/2024 09:15:19";1
"CENTRAL AGUIAR";"03/04/2024 09:18:49";"03/04/2024 09:19:19";1
"CENTRAL AGUIAR";"03/04/2024 09:22:49";"03/04/2024 09:23:19";1
"CENTRAL AGUIAR";"03/04/2024 09:26:49";"03/04/2024 09:27:19";1
"CENTRAL AGUIAR";"03/04/2024 09:28:19";"03/04/2024 09:28:49";0
"CENTRAL AGUIAR";"03/04/2024 09:30:50";"03/04/2024 09:31:20";1
"CENTRAL AGUIAR";"03/04/2024 09:32:19";"03/04/2024 09:32:49";0
"CENTRAL AGUIAR";"03/04/2024 09:33:49";"03/04/2024 09:34:19";1
"CENTRAL AGUIAR";"03/04/2024 09:34:50";"03/04/2024 09:35:20";1
"CENTRAL AGUIAR";"03/04/2024 09:38:49";"03/04/2024 09:39:19";1
"CENTRAL AGUIAR";"03/04/2024 09:42:50";"03/04/2024 09:43:20";1
"CENTRAL AGUIAR";"03/04/2024 09:46:49";"03/04/2024 09:47:19";1
"CENTRAL AGUIAR";"03/04/2024 09:50:49";"03/04/2024 09:51:19";1
"CENTRAL AGUIAR";"03/04/2024 09:54:49";"03/04/2024 09:55:19";1
"CENTRAL AGUIAR";"03/04/2024 09:57:50";"03/04/2024 09:58:20";1
"CENTRAL AGUIAR";"03/04/2024 09:58:50";"03/04/2024 09:59:20";1
"CENTRAL AGUIAR";"03/04/2024 10:02:50";"03/04/2024 10:03:20";1
"CENTRAL AGUIAR";"03/04/2024 10:06:50";"03/04/2024 10:07:20";1
"CENTRAL AGUIAR";"03/04/2024 10:10:50";"03/04/2024 10:11:20";1
"CENTRAL AGUIAR";"03/04/2024 10:14:50";"03/04/2024 10:15:20";1
"CENTRAL AGUIAR";"03/04/2024 10:18:50";"03/04/2024 10:19:20";1
"CENTRAL AGUIAR";"03/04/2024 10:22:50";"03/04/2024 10:23:20";1
"CENTRAL AGUIAR";"03/04/2024 10:26:50";"03/04/2024 10:27:20";1
"CENTRAL AGUIAR";"03/04/2024 10:28:21";"03/04/2024 10:28:51";0
"CENTRAL AGUIAR";"03/04/2024 10:30:50";"03/04/2024 10:31:20";1
"CENTRAL AGUIAR";"03/04/2024 10:34:50";"03/04/2024 10:35:20";1
"CENTRAL AGUIAR";"03/04/2024 10:47:50";"03/04/2024 10:48:20";1
"CENTRAL AGUIAR";"03/04/2024 10:51:50";"03/04/2024 10:52:21";1
"CENTRAL AGUIAR";"03/04/2024 10:55:51";"03/04/2024 10:56:21";1
